title,author,genre,description
Countdown To Armageddon: Are we living in the final chapter of the world as we know it?,['Paul McGuire'],['Religion'],Are we living in the final chapter of the world as we know it?
Beauty Secrets for Dummies,['Stephanie Seymour'],['Health & Fitness'],"Covers the basics of skin care, hair, and makeup"
College Clues for the Clueless: God's Word in Your World,['Christopher D. Hudson'],['Religion'],"This series of inspiring, challenging, and humorous books has already proven to be a hit with customers! Now joining the series are two new books -- books that will help..."
Les Fleurs Du Mal (French Edition),['Charles Baudelaire'],General,"Les Fleurs du mal is a volume of French poetry by Charles Baudelaire. First published in 1857, it was important in the symbolist and modernist movements. The poems deal with..."
The Pathfinder or the Inland Sea,['James Fenimore Cooper'],"['Bumppo, Natty (Fictitious character)']","In the sequel to The last of the Mohicans, Natty Bumppo tries to help a small outpost on Lake Ontario."
O Congress,['United States. Congress'],['Law'],The Congressional Record is the official record of the proceedings and debates of the United States Congress. It is published daily when Congress is in session. The Congressional Record began...
"Gale Encyclopedia of Alternative Medicine: Feldenkrais, Moshe (1904-1984)","['Kristine M. Krapp', 'Jacqueline L. Longe']",['Alternative medicine'],"Contains articles that provide information about alternative medicine, covering complementary therapies, herbs and remedies, and common diseases and conditions; and includes sidebar biographies, cross-references, and resources. Arranged alphabetically from D-to-K."
The Chumash Indians (Native Peoples),['Bill Lund'],['Juvenile Nonfiction'],Discusses the Chumash Indians as a modern group with a unique history and its own special practices and customs.
Diaspora Politics: At Home Abroad,['Gabriel Sheffer'],['Social Science'],"This book is intended to fill in a gap in the study of modern ethno-national diasporas. Thus, against the background of current trends - globalization, democratization, the weakening of the..."
Santa's Book of Names,['David McPhail'],['Juvenile Fiction'],A young boy who has trouble reading helps Santa with his yearly rounds and receives a special Christmas present.
Who Moved My Church? - A Story About Discovering Purpose in a Changing Culture,['Mike Nappa'],['Religion'],Four unforgettable characters set out to find their church building after it has been physically moved. But how they go about locating it and what they do once they find...
Family Evaluation in Custody Litigation: Reducing Risks of Ethical Infractions and Malpractice (Forensic Practice Guidebook),"['G. Andrew H. Benjamin', 'Jackie K. Gollan']",['Law'],Provides a child assessment protocol for both families and evaluators to minimize malpractice or ethical infractions.
Caleb's Daughter,['Kay Flowers'],['Fiction'],"Beautiful and stubborn, Achsah grows up during Israel's conquest of Canaan. Although Othniel loves her, Achsah's heart is set on another. Further complications arise when her father rashly offers her..."
The Forgotten Family,['Beryl Matthews'],['Fiction'],London 1890. Queenie Bonner is only two years old and oblivious to the dirt and squalor of the slums she lives in. She is the youngest of ten children and...
The Power of Concentration,['Theron Q. Dumont'],['Self-Help'],"This May Be the Most Extraordinary and Life-Changing Book You Ever Read... In this epic yet remarkably simple volume, Theron Q. Dumont-aka William Walker Atkinson, author of the legendary work..."
Don't Get above Your Raisin': Country Music and the Southern Working Class (Music in American Life),['Bill C. Malone'],['History'],"A spirited and informative history of country music connects the music to the people who listen to it, tracing its evolution among the nation's ""working class."""
The Guide to Owning an Australian Python,['John Coborn'],['Pets'],"Australian Pythons are relatively expensive animals, and their keepers spend freely on the equipment and food necessary. This is the only book that specifically covers the Australian Pythons in a..."
"Klutz Kwiz 3rd Grade Set Gizmo, Math Deck, Launch Deck & Challenge Deck",['Solomon Northup'],['Biography & Autobiography'],"'Ik was stomverbaasd dat ik nog nooit van dit boek had gehoord. Voor mij is het even belangrijk als het dagboek van Anne Frank.' - Steve McQueen Solomon Northup, in..."
"Two-Legged, Four-Legged, No-Legged Rhymes",['J. Patrick Lewis'],['American poetry.'],"A collection of poems about such colorful animals as the porcu-pain, the hippopot, and Paula Koala."
The Monarchs Son (The Carramer Crown) (Silhouette Romance 1459),"['Elizabeth Bevarly', 'Sharon Sala', 'Cheryl Reavis', 'Sandra Steffen']",['Fiction'],"A omnibus collection of four novels by popular romance writers features Sharon Sala's ANnie and the Outlaw, A Lawless Man by Elizabeth Bevarly, Child of Her Dreams by Sandra Steffen,..."
"China Clipper, Pan American Airways And Popular Culture",['Larry Weirather'],['Social Science'],"""The book discusses strategies used to represent the clipper as a paragon of U.S. interests, values and beliefs. The main focus of the work is the variety of ways this..."
Cue Lazarus (Camino del Sol),['Carl Marcum'],['Poetry'],The debut volume of a Mexican-American poet exploring fundamental human predicaments.
"Elvissey (Ambient, Book 4)",['Jack Womack'],['Fiction'],A young Elvis Presley is kidnapped into the future to be the new messiah in this “jarringly potent” novel from the author of Ambient (William Gibson). Winner of the Philip...
The Presidency of Woodrow Wilson,['Kendrick A. Clements'],['History'],"Describes the goals and accomplishments of the Wilson administration, and portrays his strengths as a leader"
Children With Cerebral Palsy: A Parents Guide,['Elaine Geralis'],['Family & Relationships'],"Provides information for parents who want to learn about cerebral palsy and how it affects their child and family, and covers subjects parents of cp children need to know about..."
"Deconstruction, Feminist Theology, and the Problem of Difference: Subverting the Race/Gender Divide (Religion and Postmodernism)",['Ellen T. Armour'],['Literary Criticism'],Ellen T. Armour shows how the writings of Jacques Derrida and Luce Irigaray can be used to uncover feminism's white presumptions so that race and gender can be thought of...
My Own True Love,['Susan Sizemore'],['Fiction'],"A magic rings transports accountant Sara Dayny from her suburban Minnesota home to Regency England, where she finds herself among a band of gypsies and where she falls for Toma..."
"CCNA Exam Cram, 3rd Edition (Exam: 640-507)",['Joe Habraken'],['Computers'],The outline of CCNA Cheat Sheet maps directly to the Cisco requirements for the routing and switching CCNA exam. This book provides sample questions that test your knowledge of the...
The Atonement Child,['Francine Rivers'],['Fiction'],From the New York Times bestselling author of Redeeming Love and The Masterpiece—and “one of [Christian fiction’s] most honored and talented writers” (Library Journal)—comes a heart-wrenching but uplifting story about...
"Roots, Shoots, Buckets & Boots: Gardening Together with Children",['Sharon Lovejoy'],['Juvenile Nonfiction'],"Pizza Patches & Bean Tunnels: Kids' Garden Projects to Cultivate Wonder Here are 12 spirited, easy-to-implement ideas for theme gardens that parents and kids can grow together, connecting children to..."
Rae Katherine's Victorian Recipe Secrets,['Rae Katherine Eighmey'],['Cooking'],"Included in this Victorian recipe book are ways of making sauces and pickles, soups, main dishes, breads and puddings and historical notes to explain the origins of the various recipes."
Playing (Board Books),"['Ben Buchanan', 'Carol J. Adams', 'Susan Allison']",['Juvenile Nonfiction'],"Suggests ways to use the plot, themes, and characters of children's books to create an original board game, and provides advice on beginning and ending a game, developing complications, making..."
Firewall,['DiAnn Mills'],['Fiction'],"After an airport bomb interrupts her honeymoon departure, Taryn awakes to find she and her missing husband are prime suspects, and FBI agent Grayson Hall will need to uncover the..."
Abbot Suger of St.-Denis: Church and State in Early 12th-Century France (Medieval World),"['Lindy Grant', 'David Bates']",['History'],"Based on a fresh reading of primary sources, Lindy Grant's comprehensive biography of Abbot Suger (1081-1151) provides a reassessment of a key figure of the twelfth century. Active in secular..."
Wolf story;,['William McCleery'],['Juvenile Fiction'],"This irresistible book is about: a father; his five-year-old son, Michael (intelligent, crafty, addicted to stories); Michael’s best friend Stefan (stalwart listener, equally addicted to stories); and, well—what else?—a story...."
The Ultimate Kauai Guidebook,"['Andrew Doughty', 'Harriett Friedman']",['Kauai (Hawaii)'],"The finest guidebook ever written for Kauai. This brand new fifth edition has more useful information, the most up to date maps and scores of hidden gems listed nowhere else...."
Costa Rican Wildlife: An Introduction to Familiar Species (International Nature Guides),['Fiona Reid'],['Nature'],"""Featuring a good selection of common and/or interesting species, The Wildlife of Costa Rica is the most authoritative and most useful general guide to its subject. It will attract every..."
Teach Yourself C Programming in 21 Days (Teach Yourself in 21 Days),"['Peter G. Aitken', 'Bradley Jones']",['C (Computer program language)'],"With its ever-expanding installed base, C continues to be one of the most popular programming languages on the market. The ""Teach Yourself . . "". series continues to be one..."
Why Can't You Read My Mind? Overcoming the 9 Toxic Thought Patterns that Get in the Way of a Loving Relationship,"['Jeffrey Bernstein', 'Susan Magee']",['Family & Relationships'],"Most people think that poor communication is the reason why so many relationships end, but it's actually the way we learn to think about our partners and our problems that..."
"Rangers and sovereignty,",['Dan W. Roberts'],['Biography & Autobiography'],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the..."
Dogs Tell Their Own Stories,['Elizabeth Ratisseau'],['Pets'],"This book is made up entirely of stories told by dogs. in their own voices. Most people who own dogs know they can talk, but few know they can write...."
"Arrow In The Snow (Silhouette Desire, No 747)",['Joan Johnston'],['Fiction'],"A New York Times Bestselling Author In the classic tale that started Johnston's unforgettable Hawk's Way romances, Honey Farrell swears she'll never risk her heart again after her Texas Ranger..."
The Lake At The End Of The World,['Caroline Macdonald'],['England'],Part of the Cascades series offering hardback novels to be explored in the classroom. The year is 2025. Hector leaves his underground community which has been isolated for over half...
Principles of Psychic Protection,['Judy Hall'],"['Body, Mind & Spirit']","This guide explores what psychic protection is, how it is practiced throughout the world, and what to do when you come under psychic attack, and why psychic protection can heal..."
"Medicine, 2005 Edition","['Michael Safani', 'Paul D. Chan']",['Medical'],"This pocket-size reference reviews all commonly prescribed drugs and their adult dosage, and it includes useful information on side effects and drug interactions that is not found in other pocket..."
The Seraphim Rising,['Elisabeth Devos'],['Fiction'],"When six winged, self-professed angels arrive on Earth and put forward as the Messiah a drug-addled, mentally deranged video star, Carson McCullough, a liaison hired by the angels, determines to..."
Plastic Pipe Systems: Failure Investigation and Diagnosis,['Mehdi Farshad'],['Technology & Engineering'],"Industrial and domestic piping is increasingly made from various plastics and composites, and these materials withstand heavy use over long periods. They are, however, affected by environmental and other factors..."
"The Ghost of Tricia Martin (Sweet Valley High, No. 64)",['Silk Makowski'],['Language Arts & Disciplines'],"Evaluates over fifty series in such genres as horror, romance, sci-fi, and ""Tom Swift,"" and compares series of similar nature"
Toby Lived Here,['Hilma Wolitzer'],['Young Adult Fiction'],"While in foster care, Toby and her sister learn what “family” really means When Toby’s father dies in a car accident, her mother gets a new job and a cheaper..."
'Down to Earth' Strafing Aces of the Eighth Air Force (Aircraft of the Aces),['William N Hess'],['History'],"Like The Long Reach, Down to Earth is a message from the battle at its height, told in their own words by the men who fight' this is how Brig-Gen..."
The Black Douglases: War and Lordship in Medieval Scotland 1300-1455,['Michael Brown'],['Clans'],This volume charts the rise and fall of the Black Douglas dynasty and the impact of great magnates on the late-medieval Scottish kingdom's survival and development. It demonstrates the link...
PRAXIS/CST General Science (National Teacher Examination Series),['Cirrus Teacher Certification Prep Team'],['Study Aids'],"Imagine a study guide actually designed for teachers! Because we know you've got a busy life, we've developed a study guide that isn't like other certification materials out there. With..."
Lancelot of the Lake (Oxford World's Classics),Unknown,['Literary Collections'],"The early 13th century French romance tells of Lancelot's childhood, his arrival at King Arthur's court, and the flowering of his legendary love affair with Queen Guinevere."
The People's War: Britain 1939-45 by Calder,['Angus Calder'],['Great Britain'],"""The 1939-45 conflict was, for Britain, a 'total war'; no section of society remained untouched by military conscription, air raids, the shipping crisis and the war economy. In this comprehensive..."
Midi Systems and Control (Music Technology),['Francis Rumsey'],['Technology & Engineering'],"Taking account of changes in the world of MIDI systems, this book includes examples of real implementations. Rewritten to include a far greater practical element, to complement its technical strengths,..."
Transfer Factor (Woodland Health),"['Philip Hennen, Ph.D.']",['Health & Fitness'],"Mix the latest scientific data on herbal products and physical ailments with the need for natural approaches to health, and what do you have? The Woodland Health Series. Each of..."
The Terrible Truth About Liberals,['Neal Boortz'],['Philosophy'],"The conservative radio talk show host offers his views on liberalism, discussing such topics as racism, the social security system, and taxes"
The Blackwell Guide to the Philosophy of Computing and Information,['Luciano Floridi'],['Science'],"This Guide provides an ambitious state-of-the-art survey of the fundamental themes, problems, arguments and theories constituting the philosophy of computing. A complete guide to the philosophy of computing and information...."
Multiple Regression: Testing and Interpreting Interactions,"['Leona S. Aiken', 'Stephen G. West', 'Raymond R. Reno']",['Business & Economics'],"This successful book, now available in paperback, provides academics and researchers with a clear set of prescriptions for estimating, testing and probing interactions in regression models. Including the latest research..."
To understand the Bible look for Jesus : the Bible student's guide to the Bible's central theme,['Norman L. Geisler'],['Religion'],"Believing the fundamental Christian claim that the purpose of the Bible is to present the Savior, Geisler focuses on Christ as the unity and unfolding message of the whole of..."
Ecology and the End of Postmodernism (Postmodern Encounters),['George Myerson'],['Science'],The advent of Postmodernism left us suspicious of the big story--the Grand Narrative.
Christian Mysticism (Mystic Library),['Manuela Dunn-Mascetti'],['Religion'],"Illuminates Christianity's mystical traditions in an exploration of legends, saints, surviving mystic practices, and such renowned mystics as Francis of Assisi, Hildegard of Bingen, and Gregory of Nyssa"
Greybeard,['Brian W. Aldiss'],['Fiction'],"Human reproduction has ceased and society slowly spirals in this “adult Lord of the Flies” by a Grand Master of Science Fiction (San Francisco Chronicle). After the “Accident,” all males..."
"Impact Earth: Asteroids, Comets and Meteoroids: The Growing Threat",['Austen Atkinson'],['Science'],"As more asteroids enter our solar system, our chances of a collision increase by the day. This work examines the impact phenomenon describing the importance of Deathrock collisions in the..."
The Sociology of Teaching,['Andrew B. Jones'],['Education'],"Teaching Sociology Successfully is a comprehensive guide to teaching, learning and delivering sociology, not only with success but with confidence. Carefully combing insightful anecdotes and practical ideas with key theoretical..."
Blood Hostages (Blood Wars Trilogy),['J. Robert King'],General,"When his uncle is abducted by a pair of gargoyles at the behest of an eight-armed god, Aereas joins his cousin Nina on a perilous journey into a bizarre and..."
International Political Economy,"['Robert Gilpin', 'Jean M. Gilpin']",['Business & Economics'],"The end of the Cold War has unleashed unique economic and political forces. Computers are an increasing impetus to the world economy, along with technological developments. This work studies these..."
Confessions of a young man,['George Moore'],"['Authors, Irish']","A memoir by 30-year old Irish novelist and bohemian George Moore (1852-1933). It is an frank account, of an Irish expatriate's unconventional life as an artist in Paris and London..."
Riding Tycho,['Jan Mark'],"[""Children's stories""]","Demetria has never questioned her harsh life on High Island. The endless rules, merciless bullying and the scream of the Banshee announcing another doomed escape across the sea, are all..."
Rising Star,['Jason A. Kirk'],['Political Science'],"Nikki Haley has been an emerging force in American politics, her star power burnished over a decade that has seen her move from the national spotlight to the global stage...."
Special Ops (Brotherhood of War),['W.E.B. Griffin'],['Fiction'],W.E.B. Griffin returns to the series that launched his phenomenal career-- in an explosive new novel that pits a team of Special Forces warriors against the legendary revolutionary Che Guevara.
Not Another New Year's,['Christie Ridgway'],General,"A full-length novel of contemporary romance. Hannah Davis says: ""I hate Auld Lang Syne!"" After all, this year brought Hannah nothing but the memory of her wandering fiance marrying someone..."
Slavery and Society at Rome (Key Themes in Ancient History),['Keith Bradley'],['History'],This book is about the life of the slave in classical Roman society and the importance of the institution of slavery in Roman civilization generally. Its main purpose is to...
A Map of Glass (Library Edition),['S. E. Grove'],['Juvenile Fiction'],"* ?Wholly original and marvelous beyond compare.”?Kirkus Reviews, starred review Boston, 1891. Sophia Tims comes from a family of explorers and cartologers who, for generations, have been traveling and mapping..."
"Damn!: A Christmas Book with Sex, Violence, Drugs & Fruitcake: The Aberrant Art of Barry Kite: All Pictures (Very Little Reading)",['Barry Kite'],['Art'],"This hilariously iconoclastic collection of Barry Kite's imaginative collages belongs beneath, well, almost every Christmas tree. Here's a chance to revel in your darkest humor, as Kite pokes fun at..."
"When the AK-47s Fall Silent: Revolutionaries, Guerrillas, and the Dangers of Peace (Hoover Institution Press Publication)",['Timothy C. Brown'],['Political Science'],Latin revolutionaries tell their stories.
English for Korean Speakers (English and Korean Edition),"['Matthew Preston', 'Kevin Lee']",General,"Everything a beginner needs for learning English in one book! Have fun and learn English the easy way. This book has been written for all ages, children and adults alike...."
"May Sarton, Collected Poems, 1930-1993",['May Sarton'],['Poetry'],A collection of poetry by the author of Endgame: A Journal of the Seventy-ninth Year and Among the Usual Days celebrates sixty years of creative output with poems culled from...
"The Joy Of Knitting: Texture, Color, Design, And The Global Knitting Circle",['Terttu Tuomi-Gröhn'],['Social Science'],"The word 'everyday' is usually loaded with decidedly negative connotations. However, domestic everyday activities are not merely routine work, but also include complex, demanding tasks to solve. Even though everyday..."
Tantrum,['Rebecca Schrag Hershberg'],['Family & Relationships'],"If you are the parent of a toddler or preschooler, chances are you know a thing or two about tantrums. While those epic meltdowns can certainly be part of ""normal""..."
Bonjour Laziness: Jumping Off the Corporate Ladder,['Corinne Maier'],['Business & Economics'],"Presents an examination of the world of business success, dispensing advice on how middle managers can disengage themselves from the corporate culture and perfect the appearance of actually working."
La Salle: Explorer of the North American Frontier,['Anka Muhlstein'],['Biography & Autobiography'],"Seventeenth-century North America was a dangerous, untamed land, a vast wilderness where settlers, fur traders, and missionaries all struggled to eke out an existence. But the New World was also..."
The Well of Time,['Robert Jordan'],['Fiction'],"Het eerste deel van Robert Jordans Het Rad des Tijds. Vanaf najaar 2021 te zien op Prime Video als The Wheel of Time, met Rosamund Pike en de Nederlander Josha..."
Tomorrow's Past,['Betty King'],['Cambridgeshire (England)'],"Traces the common threads that run through successive generations of three families : from Elizabeth Greenslade, in 1819, caught up in tragedy, to Beth Moulton, in 1939, who visits Cambridgeshire..."
Baby's Journal: A Book of Firsts: Includes Growth Chart and 10 Postcards,['Lizi Boyd'],['Baby books'],Untie the ribbons of this colorful joumal to find a wealth of wonderful surprises. Inside both covers are pockets filled with treasures. One holds a pack of adorable postcards to...
Lyre of Orpheus (G K Hall Large Print Book Series),"['Carl Spadoni', 'Judith Skelton Grant']",['Literary Criticism'],"Robertson Davies (1913–1995), one of Canada’s most distinguished authors of the twentieth century, was known for his work as a novelist, playwright, critic, journalist, and professor. This descriptive bibliography is..."
The Cry of Jesus on the Cross: A Biblical and Theological Study,['Gerard Rosse'],['Religion'],The cry of Jesus on the cross described in the gospels of Mark and Matthew was a wail of pain and abandonment. Many Christians have been scandalized by it. On...
Indians of the Greater Southeast (Co-published with The Society for Historical Archaeology),['Bonnie Gair McEwan'],['History'],"""If you have ever wondered about the Indian tribes who lived in the American Southeast at the time of European settlement, this book is for you. . . . Eleven..."
A World Full of Gods: The Strange Triumph of Christianity,['Keith Hopkins'],['Religion'],“Evokes the sights and sounds of the ancient world with daring and imagination… An intellectual tour-de-force that challenges us to see the history of Christianity through the eyes of those...
The Newer Deal,['Michael Hiltzik'],['Business & Economics'],"New York Times best-selling author and Pulitzer Prize-winning journalist Michael Hiltzik tells the epic story of the New Deal through the outsized personalities of the people who fought for it,..."
The Psychology Of Everyday Things,['Don Norman'],['Business & Economics'],"Even the smartest among us can feel inept as we fail to figure out which light switch or oven burner to turn on, or whether to push, pull, or slide..."
Mom's Family Calendar 2006,"['Stephen Mann', 'Carl Gutwin']",['Computers'],"Welcome to Graphics Interface 2006. This annual conference, now in its 32nd year, is devoted to computer graphics, interactive systems, and human-computer interaction. Beginning in 1969 as the “Canadian Man-Computer..."
Lies at the Altar: The Truth About Great Marriages,['Robin L. Smith'],['Family & Relationships'],Psychologist Dr. Robin Smith reveals how to turn vows made at the altar into realistic plans for a long and happy marriage. Dr. Robin Smith advises couples on how to...
Introduction to Physical Anthropology,"['Robert Jurmain', 'Lynn Kilgore', 'Wenda Trevathan', 'Russell L. Ciochon', 'Eric J. Bartelink']",['Social Science'],"INTRODUCTION TO PHYSICAL ANTHROPOLOGY brings the study of physical anthropology to life! With a focus on the big picture of human evolution, the 15th Edition helps you master the basic..."
The Wadsworth Anthology of Drama,['W. B. Worthen'],['Drama'],"THE WADSWORTH ANTHOLOGY OF DRAMA, BRIEF EDITION offers you a bold and most distinguished introduction to drama packed with exciting plays usefully situated within their historical and cultural contexts."
Defending the spirit: A Black life in America,['Randall Robinson'],['Biography & Autobiography'],Randall Robinson's Defending The Spirit is a personal account of his rise from poverty in the segregated south to a position as one of the most distinguished and outspoken political...
Countdown,['Deborah Wiles'],['Juvenile Fiction'],"The fearful events of the 1962 Cuban Missile Crisis are witnessed by eleven-year-old Franny, who finds her life and perspectives changing throughout the course of a week that is also..."
Outboard boat and motor maintenance and repair,['Edwin Sherman'],['Sports & Recreation'],"The first edition of Outboard Engines set the standard for a clear, easy-to-follow primer on engine basics, troubleshooting, care, and repair. This new edition, significantly expanded, brings the subject up..."
Venture for freedom: The true story of an African Yankee,['Ruby Zagoren'],['Slavery'],"Only seven years old when captured by enemy tribesmen, the son of a West African tribal king related in his old age the biography on which this account of his..."
Palo Verde: The Wanted Poster,['Martin Hollingshead'],['Fiction'],"Author Martin Hollingshead's unique voice provides Palo Verde: The Wanted Poster with a fascinating narrative. While the perpetrators of the crimes are immediately apparent, revealing their motivation is similar to..."
Invisible Armies: The Impact of Disease on American History,['Howard N. Simpson'],['Diseases'],"Explores the neglected role disease has played in American history, posing the novel idea that susceptibility to sickness has meant weakness in war, from the first colonizations to the Civil..."
Finder Series 2: Cage In The Finder (Yaoi),['Ayano Yamane'],['Comics & Graphic Novels'],"Freelance photographer Akihito Takaba thought he left the cutthroat dangers of the Underworld behind after barely escaping his last adventure alive. However, he soon finds himself reunited with the mysterious..."
Harry Hoyle's Giant Jumping Bean,['William Van Horn'],General,Harry's seventy-two room collection of things is imperiled by a dangerous jumping bean.
Tarot of the Old Path (Book & Card Deck),"['SYLVIA GAINSFORD', 'Howard Rodway']","['Body, Mind & Spirit']","A modern approach to the magical Old Path, and an inspiring interpretation of how to stimulate and utilize inner intuitive forces. Packaged in plastic bookcase box."
Midnight Hour Encores,['Bruce Brooks'],['Young Adult Fiction'],"A sixteen-year-old cellist and musical prodigy travels crosscountry with her father, a product of the 1960s, to meet her mother, who abandoned her as a baby."
Total Training for Young Champions,['Tudor O. Bompa'],['Sports & Recreation'],"Collects conditioning programs for athletes between the ages of six and eighteen, offering over three hundred exercises for increasing coordination, flexibility, speed, endurance, and strength"
Creating Cool Photoshop 4 Web Graphics,['David D. Busch'],['Computers'],"Focuses on eye-catching ways to transform ordinary images into attractive web publications, explaining how to build on current skills and providing a ""five-minute guide"" to creating stunning graphics. Original. (Intermediate)."
Left-Handed Kids: Why Are They So Different,['James T. De Kay'],['Cerebral dominance'],"A celebration of left-handed children which is illustrated by the author's cartoon drawings, this book informs parents of left-handed children exactly what lies in store."
Taken By Storm (Highlander),['Donna Fletcher'],['Fiction'],"Burke Longton has traveled to Scotland to find his brother, but instead finds himself in a dungeon, accused of a crime he did not commit. Before he can devise a..."
THE BACKBONE OF HISTORY: HEALTH AND NUTRITION IN THE WESTERN HEMISPHERE.,"['Richard H. Steckel', 'Jerome C. Rose']",['History'],Publisher Description
Photo Projects,['Lee Frost'],['Photography'],"Whether you want to get more from your DSLR or are simply looking for new creative avenues to explore, 50 Photo Projects shows you how to break out of your..."
"The Captives of Kaag (Lone Wolf, Book 14)",['Joe Dever'],['Fiction'],"Lone Wolf must undertake a dangerous mission to Kaag--an isolated, fortress-like city that boasts a bloodthirsty population of ex-soldiers--to rescue his friend, Banedon, who is being held captive. Original."
The Top 100: The Fastest Growing Careers in the 21st Century (Top 100: the Fastest-Growing Careers for the 21st Century),Unknown,['Business & Economics'],"Presents one hundred careers with the fastest projected growth rate in the United States and describes the duties, required education and training, and expected earnings of each profession."
The Quality of Mercy,['Barry Unsworth'],['Fiction'],"It is the spring of 1767, two years after the events of Barry Unsworth’s Booker Prize-winning novel Sacred Hunger. Erasmus Kemp, the son of a Liverpool slave ship owner, has..."
The Further Adventures Of Solar Pons (Academy Mysteries),['Stephen Jones'],['Fiction'],"CRIMES OF TERROR AND DARKNESS In the battle between good and evil, the supernatural investigators form the first line of defense against the unexplainable. Here are eighteen pulse-pounding tales featuring..."
Five Star Expressions - The Card,['J. Beverly Daniel'],['Reference'],"Showing someone you care begins with Finding the Right Words Here you'll find: • More than three dozen ways to say ""Happy Birthday"" • Welcoming words for new family members...even..."
Embroiderer's Floral,['Janet Haigh'],['Crafts & Hobbies'],"Flowers are the universally popular motif for embroidery, whether for small decorative embellishments on clothes and household linens or for large embroidered pictures suitable for framing. Janet Haigh presents inspirational..."
Hands-On Electronics: A Practical Introduction to Analog and Digital Circuits,"['Daniel M. Kaplan', 'Christopher G. White']",['Science'],Teaches analog and digital circuit theory by building working circuits. For college students and self-study.
People Types & Tiger Stripes,['Bill Eddy'],['Self-Help'],Some difficult people aren’t just hard to deal with—they’re dangerous. Do you know someone whose moods swing wildly? Do they act unreasonably suspicious or antagonistic? Do they blame others for...
Almighty over All: Understanding the Sovereignty of God,['R. C. Jr. Sproul'],['Religion'],Christians desiring a better understanding of God's sovereignty will learn about the implications of God's strength and how it relates to this life and the life to come.
Marxism: An introduction,['Peter Singer'],['Philosophy'],"""First published 1980 as an Oxford University Press paperback; Reissued 1996; First published as a Very Short Introduction 2000""--Title page verso."
Pack Trilogia Templaria (Spanish Edition),['Dan Jones'],['History'],"“Dan Jones is an entertainer, but also a bona fide historian. Seldom does one find serious scholarship so easy to read.” – The Times, Book of the Year A New..."
CARDIOVASCULAR SOLID MECHANICS,['Jay D. Humphrey'],['Science'],"This text presents a general introduction to soft tissue biomechanics. One of its primary goals is to introduce basic analytical, experimental and computational methods. In doing so, it enables readers..."
Ancient Egypt,['Toby Wilkinson'],['History'],"This is a story studded with extraordinary achievements and historic moments, from the building of the pyramids and the conquest of Nubia, through Akhenaten's religious revolution, the power and beauty..."
Lunatic Lovers of Language: Imaginary Languages and Their Inventors,"['Marina Yaguello', 'Professor and Chair of Linguistics Department of English Marina Yaguello']",['Foreign Language Study'],"Examines the creation of imaginary languages in history and fiction as an expression of the search for an original and primitive or universal language. The author's other works include ""Les..."
Sara Crewe,['Frances Hodgson Burnett'],['Fiction'],Reproduction of the original: Sara Crewe by Frances Hodgson Burnett
PREHISTORY OF THE AMERICAS,['Stuart J. Fiedel'],['History'],Sample Text
Passive RF & Microwave Integrated Circuits,['Leo Maloratsky'],['Technology & Engineering'],The growth in RF and wireless/mobile computing devices that operate at microwave frequencies has resulted in explosive demand for integrated circuits capable of operating at such frequencies in order to...
The Birder's Handbook: A Field Guide to the Natural History of North American Birds,"['Paul Ehrlich', 'David S. Dobkin', 'Darryl Wheye']",['Nature'],Identifies North American birds
"Bloopers, Botches & Blunders",['Allan Zullo'],['Anecdotes'],"Presents stories about ridiculous blunders by burglars, politicians, sports figures, movie stars, and corporations."
"Race for the Park Street Treasure (Accidental Detectives, Book 7)",['Sigmund Brouwer'],['Fiction'],"As Ricky and his friends search for a treasure buried long ago by a tightwad business tycoon, Ricky sees how ugly--and dangerous--the depths of greed can become."
"The Devil in Silicon Valley: Northern California, Race, and Mexican Americans",['Stephen J. Pitti'],['History'],"This sweeping history explores the growing Latino presence in the United States over the past two hundred years. It also debunks common myths about Silicon Valley, one of the world's..."
The good news - bad news about premature birth.(efforts at reducing severe health problems of premature babies): An article from: Medical Update,"['Institute of Medicine', 'Board on Health Sciences Policy', 'Committee on Understanding Premature Birth and Assuring Healthy Outcomes']",['Medical'],The increasing prevalence of preterm birth in the United States is a complex public health problem that requires multifaceted solutions. Preterm birth is a cluster of problems with a set...
Taboo : A Novel of Forbidden Sensual Delights.,['Kathleen Lawless'],['Fiction'],"Darling, You've been cooped up alone in the middle of nowhere far too long. I'm arriving to relieve your tedium. And bringing a very big surprise... The surprise is Montague..."
What Are the Seven Wonders of the World? and 100 Other Great Cultural Lists--Fully Explicated,"[""Peter D'Epiro"", 'Mary Desmond Pinkowish']",['Reference'],Can you name...Newton's 3 laws of motion?The 4 horsemen of the Apocalypse?The 5 pillars of Islam? The 6 wives of Henry VIII?The 7 kinds of plane triangles? The 8 Beatitudes?If...
Match Game,['A. Ashley Hoff'],['Performing Arts'],"Author A. Ashley Hoff has interviewed the writers, directors, producers, celebrity panelists, and surviving hosts to present the behind-the-scenes story of ""Match Game,"" America's (and the UK's, and Australia's) favorite..."
The angels and their mission: : according to the fathers of the church,['Jean Daniélou'],['Religion'],"Fr. Jean Danielou discusses the mission of the angels by following a historical order, looking at guardian angels, the angels and the sacraments, the spiritual life, death, and the Second..."
